objectivesoftheaid;aidamount;categorized_objective;Survival_or_Investment
"Added value, product quality and use of unwanted catches for sustainable fisheries (Art. 27 of Reg. (EU) 1388/2014)";1420407.49;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Additional costs (Art.15(4))";536030;"Economic & Regional Development";Investment/Expansion/Innovation
"Additional costs in outermost regions (Art. 15(2)(b))";186000000;"Economic & Regional Development";Investment/Expansion/Innovation
"Adverse weather conditions";91507589.83;"Economic & Regional Development";Investment/Expansion/Innovation
"Advisory services for sustainable fisheries (Art. 14 of Reg. (EU) 1388/2014)";1616780;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Agri-environmental commitments";13434673.41000001;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Agriculture; Forestry; Rural areas";167949175.2186988;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for 4G and 5G mobile networks (Art. 52a)";81751201;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for Marie SkÅ‚odowska Curie actions and European Research Council Proof of Concept actions (Art. 25b)";4660050.859147538;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Aid for advisory services (Article 22)";10744050.68069313;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for advisory services in the forestry sector";540000;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for afforestation and creation of woodland";4112;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for agri-environment-climate commitments";270222249.9373097;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for agri-environmental-climate commitments (Article 34)";341947.05;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for animal welfare commitments";164999226.7093835;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for backhaul networks (Art. 52d)";981970.9040089936;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for basic services and village renewal in rural areas";36862942.72;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for broadband infrastructure (Art. 52)";1148882845.810495;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for categories of measures covered by block exemption (FIBER, GBER)";1448619627.65;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for closing of capacity for animal, plant or human health, sanitary, ethical or environmental reasons";309301766.25;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for co-operation in the agricultural sector";20367390.5;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for combating animal diseases and plant pests (Article 26)";676220144.8718666;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for compensating the additional costs of employing workers with disabilities (Art. 34)";446225357.7597245;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for compensating the costs of assistance provided to disadvantaged workers (Art.35)";1014692.252238571;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for conservation of genetic resources in agriculture (Article 30)";35270;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for consultancy in favour of SMEs (Art. 18)";152540829.5452873;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for cooperation costs incurred by SMEs participating in European Territorial Cooperation projects (Art. 20)";2986275.18;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for cooperation in the agricultural sector (Article 32)";1042639;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for costs incurred by undertakings participating in European Territorial Cooperation projects (Art. 20)";27064687.13;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for culture and heritage conservation (Art. 53)";15886273688.79717;"Culture, Heritage & Recreation";Investment/Expansion/Innovation
"Aid for disadvantages related to Natura 2000 areas and to the Water Framework Directive";844509.3;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for disadvantages related to Natura 2000 forest areas (Article 36)";7221619.390000001;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for environmental studies (Art. 49)";45625011.86248343;"Environment & Energy";Investment/Expansion/Innovation
"Aid for establishing forest management plans";824597.26;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for fallen stock";9839832.994660158;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for farm replacement services (Article 23)";11535;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for fixed broadband networks (Art.Â 52)";361511240.7204331;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for forest-environment and climate services and forest conservation";118465;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for inland ports (Art. 56c)";281025629.6929106;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for innovation advisory services and for innovation support services (Art. 36)";4013451;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Aid for innovation clusters (Art. 27)";751359317.1349676;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Aid for investment in connection with the processing of agricultural products and the marketing of agricultural products";1147523483.697293;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments concerning the processing of agricultural products into non-agricultural products or the production of cotton (Article 44)";14357563.8;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments concerning the relocation of farm buildings (Article 16)";10117452;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments improving the resilience and environmental value of forest ecosystems";15652735.94;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments improving the resilience and environmental value of forest ecosystems (Article 44)";10308.82754996855;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments in agricultural holding linked to primary agricultural production (Article 14)";73756697.84018339;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments in connection with the processing  and the marketing of agricultural products (Article 17)";43186498.92;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments in connection with the processing and marketing of agricultural products (Article 17)";291935264.8856488;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments in favour of conservation of cultural and natural heritage located on the agricultural holding (Article 29)";867321.77;"Culture, Heritage & Recreation";Investment/Expansion/Innovation
