aid objective,category
Research and development,R&D&I
Experimental development (Art. 25(2)(c)),R&D&I
Fundamental research (Art. 25(2)(a)),R&D&I
Industrial research (Art. 25(2)(b)),R&D&I
Feasibility studies (Art. 25(2)(d)),R&D&I
Aid for innovation clusters (Art. 27),R&D&I
Innovation aid for SMEs (Art. 28),R&D&I
Investment aid for research infrastructures (Art. 26),R&D&I
Aid for process and organisational innovation (Art. 29),R&D&I
Aid for projects awarded a Seal of Excellence quality label (Art.Â 25a),R&D&I
Aid for Marie Skłodowska Curie actions and European Research Council Proof of Concept actions (Art. 25b),R&D&I
Investment aid for testing and experimentation infrastructures (Art. 26a),R&D&I
Article 13 - Aid for innovation,R&D&I
Article 30 - Aid for innovation in aquaculture,R&D&I
Fundamental research (Art. 31.2.a),R&D&I
Industrial research (Art. 31.2.b),R&D&I
Experimental development (Art. 31.2.c),R&D&I
Aid for research and development in the agricultural and forestry sectors (Article 31),R&D&I
Aid for research and development in the fishery and aquaculture sector (Art. 30),R&D&I
Aid for research and development in the agricultural and forestry sectors (Article 38),R&D&I
Aid for innovation advisory services and for innovation support services (Art. 36),R&D&I
"Research, development and innovation",R&D&I
Aid for research and development in the agricultural sector (Article 31),R&D&I
Aid for fixed broadband networks (Art.Â 52),Other
Aid for broadband infrastructure (Art. 52),Other
Broadband infrastructures,Other
Aid for 4G and 5G mobile networks (Art. 52a),Other
Aid for fixed broadband networks (Art. 52),Other
Aid for backhaul networks (Art. 52d),Other
Environmental protection,Environment
Investment aid for the promotion of energy from renewable sources (Art. 41),Environment
Investment aid for energy efficiency measures (Art. 38),Environment
Renewable energy,Environment
Investment aid for energy efficient district heating and cooling (Art. 46),Environment
Environmental aid in the form of tax reductions (Art. 25),Environment
Operating aid for the promotion of energy from renewable sources in small scale installation (Art. 43),Environment
Operating aid for the promotion of electricity from renewable sources (Art. 42),Environment
Investment aid for the acquisition of clean vehicles or zero-emission vehicles and for the retrofitting of vehicles (Art. 36b),Environment
Investment aid for high-efficiency cogeneration (Art. 40),Environment
Investment aid for energy infrastructure (Art. 48),Environment
Aid for environmental studies (Art. 49),Environment
Investment aid for publicly accessible recharging or refuelling infrastructure for zero and low emission road vehicles (Art. 36a),Environment
Investment aid for energy efficient district heating and/or cooling (Art. 46),Environment
Aid to improve energy efficiency and to mitigate the effects of climate change (Article 27),Environment
"Investment aid for the promotion of energy from renewable sources, of renewable hydrogen and of high-efficiency cogeneration (Art.Â 41)",Environment
Energy saving,Environment
Energy efficiency,Environment
Investment aid for recharging or refuelling infrastructure (Art. 36a),Environment
Energy infrastructures,Environment
Investment aid for energy efficiency measures other than in buildings (Art. 38),Environment
"Investment aid for environmental protection, including decarbonisation (Art. 36)",Environment
Investment aid for energy efficiency measures in buildings (Art. 38a),Environment
Environmental aid for the promotion of energy from renewable energy sources (Art. 23),Environment
Energy,Environment
Aid for studies and consultancy services on environmental protection and energy matters (Art.Â 49),Environment
Operating aid for the promotion of energy from renewable sources and of renewable hydrogen in small projects and renewable energy communities (Art.Â 43),Environment
Investment aid enabling undertakings to go beyond Community standards for environmental protection or increase the level of environmental protection in the absence of Community standards (Art. 18),Environment
Aid for the acquisition of new transport vehicles which go beyond Community standards or which increase the level of environmental protection in absence of Community standards (Art. 19),Environment
Investment aid for remediation of contaminated sites (Art. 45),Environment
Investment aid for waste recycling and re-utilisation (Art. 47),Environment
Aid in the form of reductions in environmental taxes under Directive 2003/96/EC (Art. 44),Environment
Aid for disadvantages related to Natura 2000 areas and to the Water Framework Directive,Environment
Aid for investments improving the resilience and environmental value of forest ecosystems (Article 35),Environment
Aid for investments improving the resilience and environmental value of forest ecosystems (Article 44),Environment
Aid for forest-environment and climate services and forest conservation,Environment
Investment aid for resource efficiency and for supporting the transition towards a circular economy (Art. 47),Environment
"Investment aid for the remediation of environmental damage, the rehabilitation of natural habitats and ecosystems, the protection or restoration of biodiversity and the implementation of nature-based solutions for climate change adaptation and mitigation (Art. 45)",Environment
