aid objective,category
"Aid for the costs of the prevention, control and eradication of animal diseases and plant pests and aid to make good the damage caused by animal diseases or plant pests (Article 26)",Survival
Services of general economic interest,Survival
LÄ«dzekÄ¼i bÅ«tisku ekonomikas problÄ“mu risinÄÅ¡anai,Survival
Aid for compensating the additional costs of employing workers with disabilities (Art. 34),Survival
Aid for the recruitment of disadvantaged workers in the form of wage subsidies (Article 32),Survival
Aid for the employment of workers with disabilities in the form of wage subsidies (Article 33),Survival
Operating aid for the promotion of electricity from renewable sources (Art. 42),Survival
Aid for combating animal diseases and plant pests (Article 26),Survival
Aid to the livestock sector (Article 27(a) or (b)),Survival
Aid for compensating the costs of assistance provided to disadvantaged workers (Art.35),Survival
"Aid for the costs of prevention, control and eradication of animal diseases and plant pests and aid to make good the damage caused by animal diseases and plant pests",Survival
Aid to compensate for losses caused by adverse climatic events which can be assimilated to a natural disaster (Article 25),Survival
Animal welfare commitments,Survival
Aid for the payment of insurance premiums (Article 28),Survival
Transport costs of goods in eligible areas (Art. 15(2)(a)),Survival
Aid schemes to make good the damage caused by certain natural disasters (Art. 50),Survival
Risk and Crisis management (AGRI),Survival
Aid to make good the damage caused by natural disaster in the agricultural sector (Article 30),Survival
Regional aid Scheme,Survival
"Aid for prevention and restoration of damage to forests from forest fire, natural disasters, adverse climatic events, diseases, pests and catastrophic events (Article 34)",Survival
StateAidObjectiveAgriNewRegu26,Survival
Animal diseases,Survival
Aid in the form of reductions in environmental taxes under Directive 2003/96/EC (Art. 44),Survival
Livestock sector,Survival
StateAidObjectiveAgriNewRegu47,Survival
Adverse weather conditions,Survival
Aid for the recruitment of disadvantaged workers in the form of wage subsidies (Art. 40),Survival
Restructuring firms in difficulty,Survival
Airport operation,Survival
Natural disasters or exceptional occurrences,Survival
Aid to compensate for the damage caused by adverse climatic event which can be assimilated to a natural disaster,Survival
Aid for establishing forest management plans,Survival
Technical support (AGRI),Survival
Aid for disadvantages related to Natura 2000 areas and to the Water Framework Directive,Survival
"Aid for closing of capacity for animal, plant or human health, sanitary, ethical or environmental reasons",Survival
Additional costs in outermost regions (Art. 15(2)(b)),Survival
Rescuing undertakings in difficulty,Survival
"Aid for removal of fallen stock (Article 27(c), (d) or (e))",Survival
Aid for animal welfare commitments,Survival
Aid to compensate for the damage caused by protected animals,Survival
"Aid for categories of measures covered by block exemption (FIBER, GBER)",Survival
Compensation of damage caused by natural disasters or exceptional occurrences,Survival
Aid for rescuing and restructuring undertakings in difficulty,Survival
"Aid for the prevention and restoration of damage to forests from forest fire, natural disasters, adverse climatic events which can be assimilated to natural disaster, other adverse climatic events, plant pests and catastrophic events",Survival
Compensation of damages caused by natural disaster,Survival
Aid to make good the damage caused by natural disasters or exceptional occurrences,Survival
Services of general economic interest (SGEI),Survival
Coordination of transport,Survival
closure aid,Survival
Restructuring undertakings in difficulty,Survival
Rescuing firms in difficulty,Survival
LÄ«dzekÄ¼i bÅ«tisku ekonomikas problÄ“mu risinÄÅ¡anai,Survival
ÐŸÑ€ÐµÐ¾Ð´Ð¾Ð»ÑÐ²Ð°Ð½Ðµ Ð½Ð° ÑÐµÑ€Ð¸Ð¾Ð·Ð½Ð¾ ÑÑŠÑ‚Ñ€ÐµÑÐµÐ½Ð¸Ðµ Ð½Ð° Ð¸ÐºÐ¾Ð½Ð¾Ð¼Ð¸ÐºÐ°Ñ‚Ð°,Survival
Aid for fallen stock,Survival
"Aid for the costs of the prevention, control and eradication of animal diseases and plant pests and aid to make good the damage caused by animal diseases or  plant pests (Article 26)",Survival
Aid to the livestock sector and aid for fallen stock (Article 27),Survival
Aid to make good the damage caused by adverse climatic events (Fisheries Guidelines point 5.3),Survival
Other measures (Fisheries Guidelines point 5.7),Survival
Additional costs (Art.15(4)),Survival
Aid to make good the damage caused by natural disasters in the agricultural sector (Article 37),Survival
Aid for the payment of insurance premiums and for financial contributions to mutual funds (Article 28),Survival
Article 45 - Tax exemptions and reductions in accordance with Directive 2003/96/EC,Survival
StateAidObjectiveAgriNewRegu27,Survival
Article 44 - Aid to make good the damage caused by natural disasters,Survival
In sparsely populated areas (Art.Â 15(2)),Survival
Transport costs of goods in eligible areas (Art. 15(2)),Survival
Outermost regions and the Aegean Islands,Survival
Regional development,Investment/Expansion/Innovation
Environmental protection,Investment/Expansion/Innovation
Culture,Investment/Expansion/Innovation
Sectorial development,Investment/Expansion/Innovation
Execution of an important project of common Europe,Investment/Expansion/Innovation
Aid for the acquisition of new transport vehicles which go beyond Community standards or which increase the level of environmental protection in absence of Community standards (Art. 19),Investment/Expansion/Innovation
Other,Investment/Expansion/Innovation
Aid for tangible or intangible investments in agricultural holding linked to primary agricultural production (Article 14),Investment/Expansion/Innovation
Investment aid for research infrastructures (Art. 26),Investment/Expansion/Innovation
